STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-05-17,12.8,"H,,S",17.8,",,S",8.9,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-05-18,14.4,"H,,S",,,,
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-05-19,13.6,"H,,S",19.1,",,S",6,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-05-20,12.1,"H,,S",,,7.1,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-05-21,12.3,"H,,S",19,",,S",10.8,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-05-22,8.2,"H,,S",14.2,",,S",,
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-05-23,9.4,"H,,S",,,4.9,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-05-24,8.1,"H,,S",,,-0.5,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-05-25,9.1,"H,,S",20.3,",,S",-0.2,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-05-26,11.1,"H,,S",,,,
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-05-27,12.4,"H,,S",26.9,",,S",3.6,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-05-28,12.1,"H,,S",19.2,",,S",7.6,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-05-29,13.1,"H,,S",17.2,",,S",10.6,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-05-30,11.9,"H,,S",21.5,",,S",9.2,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-05-31,12.6,"H,,S",,,10.3,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-06-01,13.9,"H,,S",,,9.9,",,S"
