STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-05-23,16.1,"H,,S",,,,
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-05-24,15.8,"H,,S",,,12.3,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-05-25,15.5,"H,,S",,,10.7,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-05-26,16.9,"H,,S",20.8,",,S",,
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-05-27,18.4,"H,,S",,,15.6,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-05-28,17.9,"H,,S",22.2,",,S",16.4,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-05-29,17.4,"H,,S",,,15.1,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-05-30,18,"H,,S",,,16.3,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-05-31,16.1,"H,,S",20.7,",,S",14.6,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-06-01,16.3,"H,,S",,,13.3,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-06-02,16.6,"H,,S",,,13,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-06-03,15.9,"H,,S",,,11,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-06-04,15.2,"H,,S",,,9,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-06-05,17.6,"H,,S",,,11.6,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-06-06,19,"H,,S",24.4,",,S",13.8,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-06-07,19.1,"H,,S",,,13.4,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-06-08,18.3,"H,,S",25.2,",,S",15.6,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-06-09,19.3,"H,,S",,,16.2,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-06-10,21.3,"H,,S",,,17.2,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-06-11,21.6,"H,,S",,,18.2,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-06-12,24.3,"H,,S",,,19.4,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-06-13,25.6,"H,,S",30,",,S",22.2,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-06-14,24.9,"H,,S",30,",,S",,
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-06-15,24.8,"H,,S",,,22,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-06-16,16.8,"H,,S",28.7,",,S",14.1,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-06-17,14.7,"H,,S",16.5,",,S",13,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-06-18,15.2,"H,,S",16.1,",,S",,
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-06-19,14.5,"H,,S",,,9,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-06-20,14.1,"H,,S",,,8.8,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-06-21,18.7,"H,,S",,,11.4,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-06-22,22.9,"H,,S",,,15.6,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-06-23,22.6,"H,,S",,,17.8,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-06-24,22.8,"H,,S",29.7,",,S",18.1,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-06-25,17.4,"H,,S",29,",,S",,
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-06-26,9.8,"H,,S",18.5,",,S",2.8,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-06-27,11.8,"H,,S",,,6,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-06-28,22.1,"H,,S",,,9.2,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-06-29,21.2,"H,,S",28.6,",,S",16.2,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-06-30,16,"H,,S",24.5,",,S",,
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-07-01,12.2,"H,,S",15.9,",,S",9.8,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-07-02,12.1,"H,,S",,,8.4,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-07-03,13.5,"H,,S",,,7.6,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-07-04,9.8,"H,,S",18.2,",,S",3.5,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-07-05,8.6,"H,,S",16.2,",,S",3.4,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-07-06,7.2,"H,,S",,,-0.1,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-07-07,8.8,"H,,S",,,2.3,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-07-08,11.8,"H,,S",,,3.7,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-07-09,16.7,"H,,S",,,8.9,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-07-10,20.2,"H,,S",,,14.5,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-07-11,21.1,"H,,S",27.1,",,S",16.8,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-07-12,22.6,"H,,S",,,,
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-07-13,19.4,"H,,S",29.5,",,S",16.4,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-07-14,17.4,"H,,S",23.7,",,S",,
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-07-15,15.9,"H,,S",,,9.5,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-07-16,14.1,"H,,S",23,",,S",8,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-07-17,12.9,"H,,S",,,4.4,",,S"
